,fixed_acidity,sugars,chlorides,sulfur_dioxide,density,pH,sulphates,alcohol,quality
386,7.8,2.0,0.08800000000000001,48,0.9981,3.41,0.74,9.2,6
387,8.3,1.9,0.079,42,0.9972,3.31,0.54,9.6,6
388,7.8,1.9,0.08800000000000001,53,0.9981,3.43,0.74,9.2,6
389,9.6,2.5,0.096,49,0.9982,3.19,0.7,10.0,7
390,5.6,1.4,0.045,88,0.9924,3.56,0.82,12.9,8
391,13.7,2.9,0.085,43,1.0014,3.06,0.8,10.0,6
392,9.5,2.0,0.08199999999999999,26,0.998,3.18,0.51,9.5,5
393,8.4,2.0,0.11199999999999999,95,0.997,3.16,0.54,9.1,5
394,12.7,2.3,0.063,25,0.9997,3.03,0.57,9.9,5
395,12.0,4.2,0.066,38,1.0004,3.22,0.6,13.0,7
396,6.6,7.9,0.122,124,0.9994,3.47,0.53,9.9,5
397,11.5,2.6,0.087,49,0.9988,3.18,0.65,11.0,6
398,11.5,2.6,0.087,49,0.9988,3.18,0.65,11.0,6
399,8.7,2.3,0.064,42,0.9963,3.1,0.55,9.4,5
400,6.6,7.9,0.122,124,0.9994,3.47,0.53,9.9,5
401,7.7,1.7,0.059000000000000004,38,0.9949,3.29,0.47,10.8,6
402,12.2,2.6,0.085,64,1.0,3.1,0.61,10.5,6
403,11.4,2.7,0.085,41,0.9994,3.15,0.63,10.5,6
404,7.7,2.7,0.075,27,0.9974,3.26,0.61,9.1,5
405,8.7,1.4,0.059000000000000004,25,0.9966,3.36,0.76,10.1,6
406,9.8,2.5,0.063,28,0.9981,3.24,0.65,10.8,6
407,12.0,3.0,0.09300000000000001,30,0.9996,3.18,0.63,10.8,7
408,10.4,3.7,0.174,16,0.997,3.19,0.7,11.3,6
409,12.5,4.5,0.07,49,0.9981,3.05,0.57,9.6,4
410,9.0,2.5,0.08,86,0.9987,3.38,0.62,9.5,6
411,9.1,2.4,0.08,78,0.9987,3.38,0.62,9.5,5
412,7.1,1.9,0.1,77,0.9966,3.27,0.64,9.3,5
413,9.9,6.7,0.09699999999999999,19,0.9986,3.27,0.82,11.7,7
414,8.8,2.7,0.087,122,0.9982,3.26,0.61,9.5,5
415,8.6,6.6,0.11699999999999999,134,1.0014,3.32,1.07,9.3,5
416,10.6,2.2,0.111,20,0.997,3.26,0.66,11.7,6
417,7.0,1.9,0.091,124,0.9956,3.44,0.48,10.5,5
418,11.9,2.0,0.121,20,0.9996,3.24,0.76,10.4,6
419,6.8,1.8,0.066,52,0.9976,3.62,0.68,9.9,5
420,9.5,2.4,0.08900000000000001,67,0.9972,3.28,0.73,11.8,7
421,6.6,2.3,0.059000000000000004,48,0.9952,3.52,0.56,12.3,7
422,7.7,2.0,0.047,60,0.9955,3.36,0.44,10.9,5
423,10.5,2.1,0.066,24,0.9978,3.15,0.9,11.0,7
424,7.7,2.0,0.047,60,0.9955,3.36,0.44,10.9,5
425,6.6,2.3,0.059000000000000004,48,0.9952,3.52,0.56,12.3,7
426,6.4,2.1,0.045,48,0.9949,3.49,0.49,11.4,6
427,9.5,1.9,0.077,32,0.9988,3.26,0.56,10.6,6
428,9.1,1.3,0.07,30,0.9978,3.24,0.6,9.3,5
429,12.8,2.4,0.08800000000000001,35,0.9997,3.1,0.6,10.4,6
430,10.5,2.1,0.066,24,0.9978,3.15,0.9,11.0,7
431,7.8,2.2,0.07400000000000001,66,0.9974,3.25,0.56,9.2,5
432,11.9,2.3,0.078,24,0.9958,3.0,0.65,12.8,6
433,12.3,2.3,0.091,18,1.0004,3.16,0.49,9.5,5
434,10.4,3.2,0.076,54,0.9996,3.15,0.89,9.9,6
435,12.3,2.3,0.091,18,1.0004,3.16,0.49,9.5,5
436,8.0,2.0,0.06,62,0.9958,3.26,0.56,10.2,6
437,11.1,3.2,0.066,22,0.9986,3.17,0.66,11.2,6
438,10.4,3.2,0.076,54,0.9996,3.15,0.89,9.9,6
439,7.0,1.5,0.062,50,0.9951,3.08,0.6,9.3,5
440,12.6,2.2,0.07200000000000001,29,0.9987,2.88,0.82,9.8,8
441,11.9,2.15,0.068,27,0.9988,3.06,0.68,11.3,6
442,15.6,3.7,0.1,43,1.0032,2.95,0.68,11.2,7
443,10.0,2.7,0.077,19,0.9963,3.23,0.63,11.6,7
444,5.3,1.7,0.054000000000000006,27,0.9934,3.57,0.84,12.5,7
445,9.5,2.1,0.079,31,0.9986,3.23,0.56,10.1,6
446,12.5,2.6,0.081,72,0.9996,3.1,0.73,10.5,5
447,9.3,2.1,0.127,16,0.9968,3.22,0.72,11.2,5
448,8.6,2.0,0.1,27,0.9967,3.2,0.56,10.2,6
449,11.9,2.8,0.095,35,0.9994,3.1,0.61,10.8,6
450,11.9,2.8,0.095,35,0.9994,3.1,0.61,10.8,6
451,8.4,1.8,0.413,26,0.9979,3.06,1.06,9.1,6
452,6.8,1.7,0.084,35,0.9968,3.44,0.63,10.0,6
453,10.4,2.8,0.084,22,0.9998,3.26,0.74,11.2,7
454,7.0,1.6,0.063,67,0.9952,3.5,0.63,11.1,5
455,11.3,5.2,0.086,19,0.9988,3.22,0.69,13.4,8
456,8.9,2.3,0.095,22,0.9986,3.37,0.58,10.3,5
457,9.2,2.7,0.09699999999999999,65,0.9988,3.28,0.58,9.6,5
458,10.4,2.8,0.084,22,0.9998,3.26,0.74,11.2,7
459,11.6,2.2,0.07400000000000001,47,1.0008,3.25,0.57,9.0,3
460,9.2,2.3,0.083,23,0.9976,3.35,0.61,11.3,6
461,8.3,2.6,0.087,19,0.9982,3.26,0.61,9.3,5
462,11.0,2.55,0.085,25,0.997,3.18,0.61,11.8,5
463,8.1,2.2,0.098,129,0.9972,3.08,0.53,9.0,5
464,11.5,2.1,0.084,15,0.9987,2.98,0.7,9.2,6
465,10.0,2.9,0.098,26,1.0006,3.48,0.91,9.7,5
466,10.3,2.0,0.069,51,0.9982,3.16,0.72,11.5,6
467,8.8,2.6,0.065,18,0.9947,3.32,0.79,14.0,6
468,11.4,2.1,0.09,21,1.0,3.17,0.62,9.2,6
469,8.7,1.2,0.07,48,0.9952,3.2,0.58,9.8,5
470,13.0,2.6,0.09300000000000001,47,0.9996,3.05,0.61,10.6,5
471,9.6,2.4,0.081,52,0.997,3.2,0.71,11.4,6
472,12.5,2.6,0.083,68,0.9995,3.15,0.82,10.4,6
473,9.9,2.1,0.062,14,0.9971,3.26,0.79,10.6,5
474,10.5,1.7,0.08,24,0.9982,3.2,0.89,9.4,6
475,9.6,2.2,0.087,28,0.9988,3.14,0.6,10.2,5
476,9.3,2.0,0.091,16,0.998,3.28,0.7,9.7,5
477,10.4,1.8,0.075,20,0.9977,3.18,1.06,11.0,6
478,9.6,2.2,0.087,28,0.9988,3.14,0.6,10.2,5
479,9.4,2.7,0.077,31,0.9984,3.19,0.7,10.1,6
480,10.6,15.5,0.069,23,1.0026,3.12,0.66,9.2,5
481,9.4,2.8,0.08,17,0.9964,3.15,0.92,11.7,8
482,10.6,2.2,0.152,18,0.9986,3.04,1.05,9.4,5
483,10.6,2.2,0.152,18,0.9986,3.04,1.06,9.4,5
484,10.6,4.1,0.114,24,0.997,3.06,0.66,13.4,6
485,10.2,1.9,0.054000000000000006,17,0.9976,3.17,0.47,10.0,5
486,10.2,1.9,0.054000000000000006,17,0.9976,3.17,0.47,10.0,5
487,10.2,1.8,0.053,14,0.9982,3.17,0.42,10.0,6
488,11.6,2.8,0.081,67,1.0002,3.32,0.92,10.8,7
489,9.3,2.6,0.073,26,0.9984,3.34,0.75,10.2,6
490,9.3,2.8,0.078,56,0.9984,3.31,0.67,10.6,6
491,9.2,2.5,0.055,25,0.9952,3.34,0.79,13.3,7
492,8.9,2.6,0.052000000000000005,27,0.995,3.32,0.9,13.4,7
493,8.7,3.0,0.086,81,1.0002,3.48,0.74,11.6,6
494,6.5,8.3,0.051,91,0.9952,3.44,0.55,12.1,6
495,10.7,2.6,0.07,16,0.9972,3.15,0.65,11.0,8
496,7.8,1.9,0.081,38,0.9984,3.43,0.65,9.0,6
497,7.2,2.5,0.09,113,0.9966,3.32,0.79,11.1,5
498,10.7,2.6,0.07,16,0.9972,3.15,0.65,11.0,8
